Reporting period,Area,Sex,Age group,Substance category,All in treatment,New presentations,Ethnicity - Asian/Asian British - All in treatment,Ethnicity - Asian/Asian British - New presentations,Ethnicity - Black/African/Caribbean/Black British - All in treatment,Ethnicity - Black/African/Caribbean/Black British - New presentations,Ethnicity - Mixed/Multiple ethnic group - All in treatment,Ethnicity - Mixed/Multiple ethnic group - New presentations,Ethnicity - Other ethnic group - All in treatment,Ethnicity - Other ethnic group - New presentations,Ethnicity - White - All in treatment,Ethnicity - White - New presentations,Referral source - criminal justice - New presentations,Referral source - Health services and social care - New presentations,Referral source - Other - New presentations,"Referral source - Self, family & friends - New presentations",Referral source - Substance misuse service - New Presentations,Housing situation - Housing problem - New presentations,Housing situation - No problem - New presentations,Housing situation - Other - New presentations,Housing situation - Urgent housing problem - New presentations,Waiting times - Between 3 and 6 Weeks - All in treatment,Waiting times - Under 3 Weeks - All in treatment,Waiting times - Over 6 Weeks - All in treatment,Treatment exits - Died - All in treatment,Treatment exits - Dropped out/left - All in treatment,Treatment exits - Inconsistent - All in treatment,Treatment exits - Moved away - All in treatment,Treatment exits - No appropriate treatment - All in treatment,Treatment exits Not known - All in treatment,Treatment exits - Other - All in treatment,Treatment exits - Prison - All in treatment,Treatment exits - Referred on - All in treatment,Treatment exits - Successful completion - All in treatment,Treatment exits - Transferred (in custody) - All in treatment,Treatment exits - Transferred (not in custody)  - All in treatment,Treatment exits - Treatment declined - All in treatment,Treatment exits - Treatment withdrawn - All in treatment,Clients who are parents/carers - Not a parent and not living with children - All in treatment,Clients who are parents/carers - Not a parent and not living with children - New presentations,Clients who are parents/carers - Not a parent and living with children - All in treatment,Clients who are parents/carers - Not a parent and living with children - New presentations,Clients who are parents/carers - Parent living with children - All in treatment,Clients who are parents/carers - Parent living with children - New presentations,Clients who are parents/carers - Parent not living with children - All in treatment,Clients who are parents/carers - Parent not living with children - New presentations,Employment status - In education - New presentations,Employment status - Long term sick/disabled - New presentations,Employment status - Other - New presentations,Employment status - In regular employment - New presentations,Employment status - Unemployed/Economically inactive - New presentations,Employment status - Unpaid/voluntary - New presentations,Length in treatment - 1 to 2 Years - All in treatment,Length in treatment - 2 to 4 Years - All in treatment,Length in treatment - 4 to 6 Years - All in treatment,Length in treatment - Over 6 Years - All in treatment,Length in treatment - Under 1 Year - All in treatment,Alcohol consumption  - 0 units - All in treatment,Alcohol consumption - 1000 and over units - All in treatment,Alcohol consumption - 1 to 199 units  - All in treatment,Alcohol consumption - 200 to 399 units - All in treatment,Alcohol consumption - 400 to 599 units - All in treatment,Alcohol consumption - 600 to 799 units - All in treatment,Alcohol consumption - 800 to 999 units  - All in treatment,Substance use - Alcohol - All in treatment,Substance use - Alcohol - New presentations,Substance use - Amphetamines (not ecstasy) - All in treatment,Substance use - Amphetamines (not ecstasy) - New presentations,Substance use - Benzodiazepine - All in treatment,Substance use - Benzodiazepine - New presentations,Substance use - Cannabis -  All in treatment,Substance use - Cannabis -  New presentations,Substance use/Club drugs and NPS - Ecstasy- All in treatment,Substance use/Club drugs and NPS - Ecstasy- New presentations,Club drugs and NPS - GHB/GBL - All in treatment,Club drugs and NPS - GHB/GBL - New presentations,Club drugs and NPS - Ketamine - All in treatment,Club drugs and NPS - Ketamine - New presentations,Club drugs and NPS - Mephedrone - All in treatment,Club drugs and NPS - Mephedrone - New presentations,Club drugs and NPS - Methamphetamine - All in treatment,Club drugs and NPS - Methamphetamine - New presentations,Substance use  - Cocaine - All in treatment,Substance use  - Cocaine - New presentation,Substance use - Crack cocaine (not opiate) - All in treatment,Substance use - Crack cocaine (not opiate) - New presentations,Substance use - Hallucinogen - All in treatment,Substance use - Hallucinogen - New presentations,Substance use/Club drugs and NPS - NPS - All in treatment,Substance use/Club drugs and NPS - NPS - New presentations,Substance use  - Opiate and crack cocaine - All in treatment,Substance use  - Opiate and crack cocaine - New presentations,Substance use - Opiate (not crack cocaine) - All in treatment,Substance use - Opiate (not crack cocaine) - New presentations,Substance use - Other - All in treatment,Substance use - Other - New presentations,Injecting behaviour - Currently injecting - New presentations,Injecting behaviour - Never previously injected - New presentations,Injecting behaviour - Previously injected - New presentations,Interventions - Total - Community,Interventions - Total - Inpatient unit,Interventions - Total - Missing,Interventions - Pharmacological - Any,Interventions - Pharmacological - Community,Interventions - Pharmacological - Inpatient unit,Interventions - Pharmacological - Missing,Interventions - Pharmacological - Primary care,Interventions - Pharmacological - Recovery house,Interventions - Pharmacological - Residential,Interventions - Pharmacological - Other,Interventions - Total - Primary care,Interventions - Psychosocial - Any,Interventions - Psychosocial - Community,Interventions - Psychosocial  - Inpatient unit,Interventions - Psychosocial - Missing,Interventions - Psychosocial - Primary care,Interventions - Psychosocial - Recovery house,Interventions - Psychosocial - Residential,Interventions - Psychosocial - Other,Interventions - Total - Recovery house,Interventions - Total - Residential,Interventions - Total - Any,Interventions - Total - Other,Disability - Any disability - New presentations,Disability - Behaviour and emotional - New presentations,Disability - Hearing - New presentations,Disability - Learning disability - New presentations,Disability - Manual dexterity - New presentations,Disability - Mobility and gross motor - New presentations,Disability - Not stated - New presentations,Disability - Other - New presentations,Disability - Perception of physical danger - New presentations,"Disability - Personal, self-care and continence - New presentations",Disability - Progressive conditions and physical health - New presentations,Disability - Sight - New presentations,Disability - Speech - New presentations,Sexual orientation - Client asked and does not know or is not sure - New presentations,Sexual orientation - Bisexual - New presentations,Sexual orientation - Gay/Lesbian - New presentations,Sexual orientation - Heterosexual - New presentations,Sexual orientation - Sexual orientation not stated - New presentations,Sexual orientation - Other sexual orientation - New presentations,Religion - Bahai - New presentations,Religion - Buddhist - New presentations,Religion - Christian - New presentations,Religion - Decline - New presentations,Religion - Hindu - New presentations,Religion - Jain - New presentations,Religion - Jewish - New presentations,Religion - Muslim - New presentations,Religion - None - New presentations,Religion - Other - New presentations,Religion - Pagan - New presentations,Religion - Sikh - New presentations,Religion - Unknown - New presentations,Religion - Zoroastrian - New presentations
2009/10,England,Total,Total,Opiate,170032,55493,6179,2870,2909,1469,2919,1338,1419,582,147714,46893,16768,5620,1987,21553,8935,8433,37917,147,5185,2289,57911,1136,1040,10985,96,139,42,21,72,1463,835,10832,4474,7785,935,853,71817,23870,25218,9096,32687,8799,25816,11711,379,159,1822,5049,36469,4,30910,33964,20973,20554,63631,63923,1908,25580,5221,3182,1590,1138,31710,10524,7632,2173,22923,6160,31057,9740,798,206,24,14,244,125,,,39,20,12027,2783,0,0,509,184,,,65453,21564,104579,33929,1999,342,14778,20090,18990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/11,England,Total,Total,Opiate,169144,50675,6193,2551,2829,1303,2892,1270,1383,563,147171,42920,16059,4859,1722,18891,8537,7689,35521,108,5171,1681,53848,639,1125,10137,100,14,18,2,28,833,201,13636,5929,7720,871,687,70030,21860,24731,7489,34784,7940,30308,12393,329,4743,1635,5781,29235,73,27694,35641,21084,25698,59027,70946,2079,29246,5834,3700,1767,1246,34330,10273,8049,2083,23104,5533,32475,8953,745,179,34,20,275,124,96,60,52,22,11059,2392,0,0,477,145,,,66662,20786,102482,29889,1893,315,12726,18478,18106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011/12,England,Total,Total,Opiate,162435,45491,5896,2293,2613,1164,2742,1111,1329,523,142285,38847,14419,4375,1374,17811,6942,7164,31567,74,5192,1103,51018,360,1197,8680,108,0,0,0,0,716,1,14792,6066,6971,619,510,67065,19612,22642,6280,34645,6610,32636,12562,292,5778,951,4713,27325,93,24679,32994,20870,30791,53101,73732,2195,30874,6025,3954,1934,1337,35255,10044,8172,2216,22512,5011,32188,8349,654,142,34,14,312,156,134,62,50,17,10135,2106,0,0,506,194,,,63990,18331,98445,27160,1843,345,11620,16237,16730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/13,England,Total,Total,Opiate,157959,44418,5751,2167,2483,1069,2677,1120,1294,491,138413,37826,13978,4319,1230,17992,6473,7026,31144,59,5229,832,54812,338,1171,9127,89,0,0,0,0,609,0,13834,5648,6674,636,503,63961,18802,22375,5905,33656,6310,33888,13042,238,6449,961,4713,26497,91,22020,28375,21292,34652,51620,76568,2164,32052,6026,3910,1923,1378,35096,9795,8001,1968,21423,4380,31621,8020,599,133,28,13,335,157,308,177,63,25,9549,2074,0,0,511,185,,,62456,18181,95503,26237,1830,375,11268,15863,16498,139669,2960,28690,146453,128996,2822,25874,34767,28,551,0,35907,117039,101671,2018,9934,14966,120,1642,0,135,1730,154069,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/14,England,Total,Total,Opiate,155852,44987,5861,2274,2463,1111,2714,1122,1332,502,136776,38545,13446,4264,1188,19704,5944,6760,31760,77,5469,784,63994,342,1313,10074,104,0,0,0,0,652,0,12882,5949,6481,629,465,63122,19050,19552,4662,32444,5956,37588,14963,241,8167,1138,5237,25558,100,21720,25354,19300,37591,51887,79358,2011,32775,6102,4005,2008,1379,34859,9619,7893,2018,20197,4114,30796,7601,517,87,34,14,346,157,518,292,76,37,9086,2052,0,0,494,177,42,39,62169,18679,93683,26308,1875,434,11542,16765,16036,143652,5557,22765,145670,130164,5349,20654,33720,60,1177,1,34856,139896,125829,3986,8396,17743,196,2901,2,228,3078,155257,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/15,England,Total,Total,Opiate,152964,44356,5908,2126,2466,1130,2706,1105,1305,495,134078,37964,12269,4244,1142,20748,5377,6672,31232,61,5358,956,64152,356,1428,11363,85,0,0,0,0,689,0,11685,5563,6535,550,438,62529,19058,16464,3290,31467,5680,39913,15516,194,10160,1038,5740,23244,94,21578,23569,16270,40075,51472,80410,1931,32693,6028,3976,1971,1308,33405,8952,7666,1985,19017,3938,29568,7205,468,96,33,15,270,72,662,350,81,36,8896,2154,0,0,403,94,328,265,61434,18557,91530,25799,1917,515,11372,16593,15632,144940,6102,15092,143726,131970,5918,13498,32581,51,1363,1,33615,141841,131765,4680,4196,17861,176,2919,2,190,3082,152495,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/16,England,Total,Total,Opiate,149807,43465,5846,2104,2461,1093,2718,1068,1280,468,131273,37299,11548,4172,1245,21669,4470,6646,30370,89,5568,738,62784,358,1693,13312,118,0,0,0,0,748,0,10463,4974,5821,568,310,62156,19287,13722,2223,29588,4876,42458,16502,185,12614,1302,5787,20700,88,21681,22875,14272,40476,50503,82376,1782,32094,5883,3831,1853,1237,31686,8386,7111,1770,17703,3581,28099,6612,423,86,35,15,238,88,649,274,78,32,8512,2086,0,0,390,125,773,546,61623,19485,88184,23980,1934,479,11153,16829,15082,143054,6042,12204,140400,129574,5859,10877,29185,224,1303,2,30724,140912,132195,4835,3468,17080,161,2722,6,354,2883,149479,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/17,England,Total,Total,Opiate,146536,43142,5732,2069,2442,1123,2668,1132,1243,436,128582,37089,11120,4005,1216,22714,3805,6439,29830,94,6122,564,63548,187,1741,15394,180,0,0,1,0,829,0,10439,4660,5496,529,245,64107,20696,12584,2116,26495,4236,41804,15808,183,14055,1459,5768,18966,87,20632,22714,12946,39829,50415,83584,1697,31545,5705,3675,1749,1143,29910,7903,6341,1353,16103,3020,26650,6387,367,73,45,22,220,75,431,81,98,47,8187,2111,0,0,361,94,1053,597,63602,21854,82934,21288,1952,508,11263,17014,14614,140973,5648,8691,137332,128464,5477,7679,26444,182,1170,2,27297,140873,133753,4688,2669,15171,105,2481,4,268,2637,146321,4,7773,3393,221,740,205,1623,5037,1207,89,179,1273,264,45,79,601,631,37702,3093,346,5,227,8821,2197,101,8,43,1256,19685,1418,77,345,6034,7
2017/18,England,Total,Total,Opiate,141189,41178,5422,1790,2365,1037,2666,1118,1208,424,124279,35701,10562,3885,1162,21992,3336,6272,27931,116,6463,537,61147,228,1712,14639,118,0,1,1,1,712,0,9309,4163,5079,531,175,60958,19366,10317,1678,25198,3919,43689,15988,161,14419,1195,5495,17736,100,20052,22158,12406,38459,48114,83491,1522,30091,5440,3538,1602,1109,27537,6984,5617,1065,14349,2484,24603,5685,318,57,42,15,196,63,315,37,92,38,7789,2055,0,0,317,78,1103,584,63941,22411,77248,18767,1874,498,10670,16165,14022,136023,4923,7399,131875,124392,4749,6547,23078,151,948,2,23820,136253,129994,4308,2276,13466,95,2060,6,199,2196,140643,6,9035,4352,217,857,206,1969,3149,1146,97,168,1456,269,41,75,724,565,36582,2481,345,8,243,9522,1736,138,5,49,1298,21610,1194,104,341,3941,7
2018/19,England,Total,Total,Opiate,139845,41928,5649,1933,2509,1095,2834,1194,1191,395,124168,36285,10516,3826,1246,23379,2807,6494,28086,121,6911,534,62029,247,1897,14153,74,0,0,0,0,617,0,8494,3937,4655,503,212,61301,19655,9430,1891,23690,3756,44689,16446,123,12983,821,5465,20526,76,19578,21921,12624,37315,48407,84885,1495,29419,5365,3375,1528,1045,25656,6588,5036,909,13239,2381,23320,5624,277,53,33,12,200,78,259,45,81,26,7564,2104,0,0,318,102,1330,751,66472,24363,73373,17565,2040,703,10205,16970,14435,135306,4648,6348,131011,124241,4472,5609,21018,127,862,1,21598,135424,130289,4143,1976,11885,80,1862,6,164,1995,139222,6,11090,5955,269,1152,239,2876,2554,1252,109,147,1554,306,54,80,769,569,37246,1851,96,4,210,9805,1407,132,2,46,1396,22835,1222,117,392,3870,10
